code_espece_local,espece,annee,semaine,fichier_source,feuille_source
AAU,Aurelia aurita,2026,5,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,6,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,7,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,8,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,9,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,10,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,11,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,12,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,13,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,14,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,15,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,16,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,17,Suivi_2026.xlsx,Aurelia
AAU,Aurelia aurita,2026,18,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2023,37,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,38,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,39,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,40,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,41,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,42,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,43,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,44,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,45,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,46,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,47,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,48,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,49,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,50,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,51,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2023,52,Suivi_2023.xlsx,Aurelia
ACA,Aurelia coerulea,2024,1,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,2,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,3,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,4,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,5,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,6,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,7,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,8,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,9,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,10,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,11,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,12,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,13,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,14,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,15,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,16,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,17,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,18,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,19,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,20,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,21,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,22,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,23,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,24,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,25,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,26,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,27,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,28,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,29,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,32,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,33,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,34,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,35,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,36,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,38,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,39,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,40,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,41,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,42,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,43,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,44,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,45,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,46,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,47,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,48,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,49,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,50,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2024,51,Suivi_2024.xlsx,Aurelia
