annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur,fichier_source,feuille_source,ligne_source,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,45,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,46,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,47,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,48,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,49,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,50,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,51,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,52,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,143,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,1,ephyrules,0.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,2,ephyrules,50.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,3,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,4,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,5,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,6,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,7,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,8,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,9,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,10,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,11,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
