annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,1,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,6,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,2,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,7,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,3,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,8,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,4,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,9,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,5,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,10,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,6,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,11,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,7,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,12,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,8,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,13,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,9,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,14,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,10,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,15,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,11,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,16,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,12,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,17,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,13,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,18,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,14,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,19,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,15,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,20,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,16,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,21,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,17,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,22,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,18,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,23,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,19,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,24,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,20,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,25,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,21,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,26,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,22,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,27,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,23,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,28,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,24,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,29,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,25,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,30,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,26,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,31,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,27,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,32,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,28,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,33,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,29,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,34,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,30,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,35,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,31,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,36,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,32,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,37,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,33,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,38,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,34,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,39,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,35,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,11,40,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,36,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,11,41,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,1,ephyrules,150,150,standard,,Suivi_2025.xlsx,Aurelia,12,6,False,ACA,ACA-FBA-1,1,FBA,01
