annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,1,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,5,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,2,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,6,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,3,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,7,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,4,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,8,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,5,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,9,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,6,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,10,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,7,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,11,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,8,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,12,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,9,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,13,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,10,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,14,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,11,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,15,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,15,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,19,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,19,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,23,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,23,polypes,8.0,8,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,27,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,24,polypes,8.0,8,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,28,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,25,polypes,8.0,8,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,29,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,27,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,143,31,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,28,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,32,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,29,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,33,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,30,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,34,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,31,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,35,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,32,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,36,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,33,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,37,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,34,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,38,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,35,polypes,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,143,39,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,36,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,40,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,37,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,41,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,38,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,42,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,39,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,43,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,40,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,44,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,41,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,45,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,42,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,46,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,43,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,47,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,44,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,48,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,45,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,143,49,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,46,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,143,50,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,47,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,143,51,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,48,polypes,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,143,52,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,49,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,53,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,50,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,54,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,51,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,55,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,52,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,143,56,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,1,ephyrules,0.0,0,standard,FF0000,Suivi_2020.xlsx,Rhizostomae,144,5,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,2,ephyrules,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,6,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,3,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,7,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
